anio,clae2,empleo,establecimientos,exportadoras,salario_promedio_anual_deflactado,meses_completos,empleo_total_geo,establecimientos_total_geo,share_empleo,densidad_estab,intensidad_export,provincia_id,provincia
2022,86,87901.0,6228.0,41.0,0.0,0,1596397.0,212077.0,0.05506212,0.07085244,0.00658317,2,CABA
2022,87,7599.0,799.0,0.0,0.0,0,1596397.0,212077.0,0.00476009,0.10514541,0.0,2,CABA
2022,88,515.0,77.0,0.0,0.0,0,1596397.0,212077.0,0.0003226,0.14951456,0.0,2,CABA
2022,90,3515.0,771.0,4.0,0.0,0,1596397.0,212077.0,0.00220183,0.21934566,0.00518807,2,CABA
2022,91,720.0,109.0,4.0,0.0,0,1596397.0,212077.0,0.00045102,0.15138889,0.03669725,2,CABA
2022,92,5103.0,592.0,10.0,0.0,0,1596397.0,212077.0,0.00319657,0.11601019,0.01689189,2,CABA
2022,93,13665.0,1245.0,54.0,0.0,0,1596397.0,212077.0,0.0085599,0.09110867,0.04337349,2,CABA
2022,94,92786.0,33745.0,27.0,0.0,0,1596397.0,212077.0,0.05812213,0.36368633,0.00080012,2,CABA
2022,95,2103.0,370.0,5.0,0.0,0,1596397.0,212077.0,0.00131734,0.17593913,0.01351351,2,CABA
2022,96,8281.0,2777.0,15.0,0.0,0,1596397.0,212077.0,0.00518731,0.33534597,0.00540151,2,CABA
2022,97,17.0,14.0,0.0,0.0,0,1596397.0,212077.0,1.065e-05,0.82352941,0.0,2,CABA
2022,99,1379.0,209.0,7.0,0.0,0,1596397.0,212077.0,0.00086382,0.1515591,0.03349282,2,CABA
2022,1,71106.0,22467.0,416.0,0.0,0,2108119.0,302925.0,0.03372959,0.3159649,0.01851605,6,Buenos Aires
2022,10,112696.0,8992.0,1622.0,340419056.25,25152,2108119.0,302925.0,0.05345808,0.07978988,0.18038256,6,Buenos Aires
2022,11,18764.0,837.0,202.0,0.0,0,2108119.0,302925.0,0.00890083,0.04460669,0.24133811,6,Buenos Aires
2022,16,7445.0,1130.0,56.0,0.0,0,2108119.0,302925.0,0.00353158,0.15177972,0.04955752,6,Buenos Aires
2022,18,7107.0,1212.0,61.0,0.0,0,2108119.0,302925.0,0.00337125,0.17053609,0.05033003,6,Buenos Aires
2022,22,44786.0,3306.0,733.0,0.0,0,2108119.0,302925.0,0.02124453,0.07381771,0.22171809,6,Buenos Aires
2022,24,21941.0,971.0,167.0,0.0,0,2108119.0,302925.0,0.01040786,0.04425505,0.17198764,6,Buenos Aires
2022,25,48298.0,6028.0,623.0,0.0,0,2108119.0,302925.0,0.02291047,0.12480848,0.10335103,6,Buenos Aires
2022,29,42900.0,1241.0,379.0,0.0,0,2108119.0,302925.0,0.02034989,0.02892774,0.30539887,6,Buenos Aires
2022,32,7350.0,914.0,144.0,0.0,0,2108119.0,302925.0,0.00348652,0.12435374,0.15754923,6,Buenos Aires
2022,33,5404.0,799.0,67.0,0.0,0,2108119.0,302925.0,0.00256342,0.14785344,0.08385482,6,Buenos Aires
2022,35,19767.0,1021.0,84.0,86444596.94,4318,2108119.0,302925.0,0.00937661,0.05165174,0.08227228,6,Buenos Aires
2022,42,43333.0,2660.0,74.0,0.0,0,2108119.0,302925.0,0.02055529,0.06138509,0.02781955,6,Buenos Aires
2022,45,40083.0,8876.0,78.0,0.0,0,2108119.0,302925.0,0.01901363,0.22144051,0.00878774,6,Buenos Aires
2022,46,127238.0,21356.0,1780.0,0.0,0,2108119.0,302925.0,0.06035618,0.16784294,0.08334894,6,Buenos Aires
2022,47,223043.0,63885.0,1390.0,861742126.67,50130,2108119.0,302925.0,0.1058019,0.28642459,0.02175785,6,Buenos Aires
2022,49,124259.0,12536.0,37.0,0.0,0,2108119.0,302925.0,0.05894307,0.10088605,0.0029515,6,Buenos Aires
2022,53,9641.0,844.0,518.0,0.0,0,2108119.0,302925.0,0.00457327,0.08754279,0.61374408,6,Buenos Aires
2022,55,12736.0,2552.0,0.0,0.0,0,2108119.0,302925.0,0.0060414,0.20037688,0.0,6,Buenos Aires
2022,56,72336.0,14309.0,269.0,0.0,0,2108119.0,302925.0,0.03431305,0.19781298,0.01879936,6,Buenos Aires
2022,60,8708.0,494.0,48.0,0.0,0,2108119.0,302925.0,0.0041307,0.05672944,0.09716599,6,Buenos Aires
2022,61,10792.0,1039.0,533.0,0.0,0,2108119.0,302925.0,0.00511926,0.09627502,0.51299326,6,Buenos Aires
2022,62,13090.0,2040.0,74.0,23997302.85,2587,2108119.0,302925.0,0.00620933,0.15584416,0.03627451,6,Buenos Aires
2022,64,14628.0,3052.0,0.0,0.0,0,2108119.0,302925.0,0.00693889,0.20864096,0.0,6,Buenos Aires
2022,65,14420.0,2122.0,0.0,0.0,0,2108119.0,302925.0,0.00684022,0.14715673,0.0,6,Buenos Aires
2022,68,13156.0,6571.0,11.0,0.0,0,2108119.0,302925.0,0.00624063,0.49946792,0.00167402,6,Buenos Aires
2022,69,9773.0,5266.0,0.0,0.0,0,2108119.0,302925.0,0.00463589,0.53883147,0.0,6,Buenos Aires
2022,70,7642.0,2627.0,6.0,0.0,0,2108119.0,302925.0,0.00362503,0.34375818,0.00228397,6,Buenos Aires
2022,75,952.0,544.0,2.0,0.0,0,2108119.0,302925.0,0.00045159,0.57142857,0.00367647,6,Buenos Aires
2022,79,2745.0,845.0,0.0,0.0,0,2108119.0,302925.0,0.00130211,0.30783242,0.0,6,Buenos Aires
2022,80,47520.0,2531.0,23.0,0.0,0,2108119.0,302925.0,0.02254142,0.05326178,0.00908732,6,Buenos Aires
2022,81,33124.0,4626.0,7.0,0.0,0,2108119.0,302925.0,0.01571259,0.13965705,0.00151319,6,Buenos Aires
2022,82,25648.0,4711.0,38.0,0.0,0,2108119.0,302925.0,0.0121663,0.18367904,0.00806623,6,Buenos Aires
2022,85,192869.0,6971.0,2.0,0.0,0,2108119.0,302925.0,0.09148867,0.0361437,0.0002869,6,Buenos Aires
2022,86,84198.0,10252.0,73.0,0.0,0,2108119.0,302925.0,0.03993987,0.12176061,0.00712056,6,Buenos Aires
2022,87,10681.0,1371.0,0.0,0.0,0,2108119.0,302925.0,0.0050666,0.12835877,0.0,6,Buenos Aires
2022,92,11200.0,2473.0,12.0,0.0,0,2108119.0,302925.0,0.00531279,0.22080357,0.00485241,6,Buenos Aires
2022,94,70905.0,17276.0,19.0,0.0,0,2108119.0,302925.0,0.03363425,0.24364995,0.00109979,6,Buenos Aires
2022,96,8993.0,3575.0,8.0,0.0,0,2108119.0,302925.0,0.00426589,0.39753141,0.00223776,6,Buenos Aires
2022,36,7084.0,475.0,0.0,0.0,0,2108119.0,302925.0,0.00336034,0.06705251,0.0,6,Buenos Aires
2022,66,4091.0,1888.0,0.0,0.0,0,2108119.0,302925.0,0.00194059,0.46150086,0.0,6,Buenos Aires
2022,71,11383.0,2401.0,45.0,0.0,0,2108119.0,302925.0,0.0053996,0.21092858,0.01874219,6,Buenos Aires
2022,84,5807.0,738.0,0.0,0.0,0,2108119.0,302925.0,0.00275459,0.127088,0.0,6,Buenos Aires
2022,91,847.0,163.0,0.0,0.0,0,2108119.0,302925.0,0.00040178,0.19244392,0.0,6,Buenos Aires
2022,2,586.0,132.0,12.0,0.0,0,2108119.0,302925.0,0.00027797,0.22525597,0.09090909,6,Buenos Aires
2022,17,18202.0,1040.0,237.0,0.0,0,2108119.0,302925.0,0.00863424,0.05713658,0.22788462,6,Buenos Aires
2022,20,39062.0,2612.0,1146.0,0.0,0,2108119.0,302925.0,0.01852931,0.06686806,0.43874426,6,Buenos Aires
2022,23,22873.0,1319.0,204.0,0.0,0,2108119.0,302925.0,0.01084996,0.05766624,0.15466262,6,Buenos Aires
2022,28,20986.0,2019.0,654.0,0.0,0,2108119.0,302925.0,0.00995485,0.096207,0.32392273,6,Buenos Aires
2022,41,46031.0,6684.0,54.0,21969514.0,1519,2108119.0,302925.0,0.02183511,0.14520649,0.00807899,6,Buenos Aires
2022,43,31285.0,4801.0,38.0,0.0,0,2108119.0,302925.0,0.01484024,0.15346012,0.00791502,6,Buenos Aires
2022,52,36088.0,2989.0,45.0,0.0,0,2108119.0,302925.0,0.01711858,0.08282532,0.0150552,6,Buenos Aires
2022,74,2827.0,432.0,2.0,0.0,0,2108119.0,302925.0,0.00134101,0.15281217,0.00462963,6,Buenos Aires
2022,77,2687.0,562.0,15.0,0.0,0,2108119.0,302925.0,0.0012746,0.20915519,0.02669039,6,Buenos Aires
2022,93,16897.0,2499.0,24.0,0.0,0,2108119.0,302925.0,0.0080152,0.14789608,0.00960384,6,Buenos Aires
2022,3,4044.0,287.0,107.0,0.0,0,2108119.0,302925.0,0.0019183,0.07096934,0.3728223,6,Buenos Aires
2022,13,26505.0,2457.0,324.0,0.0,0,2108119.0,302925.0,0.01257282,0.09269949,0.13186813,6,Buenos Aires
2022,14,15515.0,2209.0,240.0,0.0,0,2108119.0,302925.0,0.00735964,0.14237834,0.10864645,6,Buenos Aires
2022,15,14861.0,1394.0,159.0,0.0,0,2108119.0,302925.0,0.00704941,0.09380257,0.11406026,6,Buenos Aires
2022,21,19057.0,631.0,437.0,0.0,0,2108119.0,302925.0,0.00903981,0.03311119,0.69255151,6,Buenos Aires
2022,26,5293.0,594.0,143.0,0.0,0,2108119.0,302925.0,0.00251077,0.11222369,0.24074074,6,Buenos Aires
2022,27,19359.0,1492.0,356.0,0.0,0,2108119.0,302925.0,0.00918307,0.0770701,0.2386059,6,Buenos Aires
2022,30,8025.0,551.0,48.0,0.0,0,2108119.0,302925.0,0.00380671,0.06866044,0.08711434,6,Buenos Aires
2022,31,9847.0,1481.0,128.0,0.0,0,2108119.0,302925.0,0.00467099,0.15040114,0.08642809,6,Buenos Aires
2022,38,14212.0,500.0,29.0,0.0,0,2108119.0,302925.0,0.00674155,0.03518154,0.058,6,Buenos Aires
2022,58,3359.0,369.0,74.0,0.0,0,2108119.0,302925.0,0.00159336,0.10985412,0.20054201,6,Buenos Aires
2022,59,3054.0,230.0,29.0,0.0,0,2108119.0,302925.0,0.00144868,0.07531107,0.12608696,6,Buenos Aires
