anio,letra,empleo_mujeres,empleo_varones,empleo_otro,salario_promedio_anual_deflactado,meses_completos,ratio_fem,brecha_genero_abs,provincia_id,provincia
2022,P,2884.0,1425.0,0.0,0.0,0,0.66929682,1459.0,18,Corrientes
2022,Q,1746.0,732.0,0.0,0.0,0,0.70460048,1014.0,18,Corrientes
2022,R,326.0,750.0,0.0,0.0,0,0.30297398,424.0,18,Corrientes
2022,S,1206.0,1981.0,0.0,0.0,0,0.3784123,775.0,18,Corrientes
2022,E,93.0,526.0,0.0,0.0,0,0.15024233,433.0,18,Corrientes
2022,U,0.0,3.0,0.0,0.0,0,0.0,3.0,18,Corrientes
2022,A,365.0,6455.0,0.0,0.0,0,0.05351906,6090.0,22,Chaco
2022,B,3.0,67.0,0.0,0.0,0,0.04285714,64.0,22,Chaco
2022,C,861.0,6759.0,0.0,0.0,0,0.11299213,5898.0,22,Chaco
2022,D,203.0,1246.0,0.0,0.0,0,0.14009662,1043.0,22,Chaco
2022,G,5603.0,15771.0,0.0,0.0,0,0.26214092,10168.0,22,Chaco
2022,H,338.0,3325.0,0.0,0.0,0,0.09227409,2987.0,22,Chaco
2022,I,538.0,733.0,0.0,0.0,0,0.42328875,195.0,22,Chaco
2022,J,499.0,1302.0,0.0,0.0,0,0.2770683,803.0,22,Chaco
2022,K,905.0,1054.0,0.0,0.0,0,0.46197039,149.0,22,Chaco
2022,L,82.0,143.0,0.0,0.0,0,0.36444444,61.0,22,Chaco
2022,M,270.0,719.0,0.0,0.0,0,0.27300303,449.0,22,Chaco
2022,N,6811.0,6326.0,0.0,0.0,0,0.51845931,485.0,22,Chaco
2022,P,4977.0,2153.0,0.0,0.0,0,0.69803647,2824.0,22,Chaco
2022,Q,2357.0,1157.0,0.0,0.0,0,0.67074559,1200.0,22,Chaco
2022,R,350.0,574.0,0.0,0.0,0,0.37878788,224.0,22,Chaco
2022,S,2363.0,2197.0,0.0,0.0,0,0.51820175,166.0,22,Chaco
2022,F,353.0,7259.0,0.0,0.0,0,0.04637415,6906.0,22,Chaco
2022,O,97.0,179.0,0.0,0.0,0,0.35144928,82.0,22,Chaco
2022,E,771.0,2503.0,0.0,0.0,0,0.23549175,1732.0,22,Chaco
2022,U,0.0,4.0,0.0,0.0,0,0.0,4.0,22,Chaco
2022,A,1259.0,5884.0,0.0,0.0,0,0.17625647,4625.0,26,Chubut
2022,B,1246.0,13203.0,0.0,0.0,0,0.08623434,11957.0,26,Chubut
2022,C,3048.0,9174.0,0.0,0.0,0,0.24938635,6126.0,26,Chubut
2022,D,462.0,2547.0,0.0,34371072.88,495,0.15353938,2085.0,26,Chubut
2022,E,88.0,853.0,0.0,0.0,0,0.09351753,765.0,26,Chubut
2022,F,456.0,8409.0,0.0,0.0,0,0.05143824,7953.0,26,Chubut
2022,G,8284.0,12443.0,0.0,0.0,0,0.39967193,4159.0,26,Chubut
2022,H,718.0,6828.0,0.0,0.0,0,0.09514975,6110.0,26,Chubut
2022,I,1997.0,1736.0,0.0,0.0,0,0.53495848,261.0,26,Chubut
2022,J,428.0,1033.0,0.0,0.0,0,0.29295003,605.0,26,Chubut
2022,K,1426.0,1041.0,0.0,0.0,0,0.57803,385.0,26,Chubut
2022,L,228.0,250.0,0.0,0.0,0,0.47698745,22.0,26,Chubut
2022,M,849.0,1034.0,0.0,0.0,0,0.45087626,185.0,26,Chubut
2022,N,1352.0,2536.0,0.0,0.0,0,0.34773663,1184.0,26,Chubut
2022,O,160.0,323.0,0.0,0.0,0,0.33126294,163.0,26,Chubut
2022,P,2406.0,761.0,0.0,0.0,0,0.7597095,1645.0,26,Chubut
2022,Q,3028.0,903.0,0.0,0.0,0,0.77028746,2125.0,26,Chubut
2022,R,482.0,636.0,0.0,0.0,0,0.43112701,154.0,26,Chubut
2022,S,1574.0,1128.0,0.0,0.0,0,0.58253146,446.0,26,Chubut
2022,U,3.0,1.0,0.0,0.0,0,0.75,2.0,26,Chubut
2022,A,1830.0,14886.0,0.0,0.0,0,0.10947595,13056.0,30,Entre Rios
2022,B,23.0,405.0,0.0,0.0,0,0.05373832,382.0,30,Entre Rios
2022,C,3428.0,27943.0,0.0,0.0,0,0.1092729,24515.0,30,Entre Rios
2022,D,243.0,1234.0,0.0,0.0,0,0.16452268,991.0,30,Entre Rios
2022,E,47.0,243.0,0.0,0.0,0,0.16206897,196.0,30,Entre Rios
2022,F,454.0,7865.0,0.0,0.0,0,0.05457387,7411.0,30,Entre Rios
2022,G,8702.0,20359.0,0.0,0.0,0,0.29943911,11657.0,30,Entre Rios
2022,H,473.0,6253.0,0.0,0.0,0,0.07032412,5780.0,30,Entre Rios
2022,I,2120.0,1813.0,0.0,0.0,0,0.53902873,307.0,30,Entre Rios
2022,J,632.0,1812.0,0.0,0.0,0,0.25859247,1180.0,30,Entre Rios
2022,K,1806.0,1746.0,0.0,0.0,0,0.50844595,60.0,30,Entre Rios
2022,L,158.0,500.0,0.0,0.0,0,0.24012158,342.0,30,Entre Rios
2022,M,860.0,965.0,0.0,0.0,0,0.47123288,105.0,30,Entre Rios
2022,N,1638.0,2957.0,0.0,0.0,0,0.35647443,1319.0,30,Entre Rios
2022,O,139.0,124.0,0.0,0.0,0,0.52851711,15.0,30,Entre Rios
2022,P,12411.0,4356.0,0.0,0.0,0,0.74020397,8055.0,30,Entre Rios
2022,Q,4633.0,1673.0,0.0,0.0,0,0.73469711,2960.0,30,Entre Rios
2022,R,644.0,1011.0,0.0,0.0,0,0.38912387,367.0,30,Entre Rios
2022,S,3077.0,2300.0,0.0,0.0,0,0.57225219,777.0,30,Entre Rios
2022,U,2.0,2.0,0.0,0.0,0,0.5,0.0,30,Entre Rios
2022,A,60.0,1478.0,0.0,0.0,0,0.0390117,1418.0,34,Formosa
2022,C,205.0,1546.0,0.0,0.0,0,0.11707596,1341.0,34,Formosa
2022,F,190.0,6280.0,0.0,0.0,0,0.02936631,6090.0,34,Formosa
2022,G,1888.0,4853.0,0.0,0.0,0,0.28007714,2965.0,34,Formosa
2022,H,81.0,964.0,0.0,0.0,0,0.07751196,883.0,34,Formosa
2022,M,75.0,209.0,0.0,0.0,0,0.26408451,134.0,34,Formosa
2022,N,415.0,623.0,0.0,0.0,0,0.39980732,208.0,34,Formosa
2022,P,1256.0,549.0,0.0,0.0,0,0.69584488,707.0,34,Formosa
2022,Q,747.0,348.0,0.0,0.0,0,0.68219178,399.0,34,Formosa
2022,S,572.0,501.0,0.0,0.0,0,0.53308481,71.0,34,Formosa
2022,B,11.0,39.0,0.0,0.0,0,0.22,28.0,34,Formosa
2022,D,68.0,501.0,0.0,0.0,0,0.11950791,433.0,34,Formosa
2022,E,36.0,388.0,0.0,0.0,0,0.08490566,352.0,34,Formosa
2022,I,283.0,470.0,0.0,0.0,0,0.37583001,187.0,34,Formosa
2022,J,164.0,509.0,0.0,0.0,0,0.24368499,345.0,34,Formosa
2022,K,451.0,582.0,0.0,0.0,0,0.43659245,131.0,34,Formosa
2022,L,44.0,84.0,0.0,0.0,0,0.34375,40.0,34,Formosa
2022,O,41.0,26.0,0.0,0.0,0,0.6119403,15.0,34,Formosa
2022,R,149.0,296.0,0.0,0.0,0,0.33483146,147.0,34,Formosa
2022,A,1558.0,6410.0,0.0,0.0,0,0.19553213,4852.0,38,Jujuy
2022,B,409.0,2490.0,0.0,0.0,0,0.14108313,2081.0,38,Jujuy
2022,C,1095.0,10401.0,0.0,0.0,0,0.09525052,9306.0,38,Jujuy
2022,D,104.0,438.0,0.0,0.0,0,0.19188192,334.0,38,Jujuy
2022,F,414.0,7058.0,0.0,0.0,0,0.05540685,6644.0,38,Jujuy
2022,G,2837.0,6853.0,0.0,0.0,0,0.29277606,4016.0,38,Jujuy
2022,H,266.0,3988.0,0.0,0.0,0,0.06252938,3722.0,38,Jujuy
2022,I,860.0,1028.0,0.0,0.0,0,0.45550847,168.0,38,Jujuy
2022,J,405.0,905.0,0.0,0.0,0,0.30916031,500.0,38,Jujuy
2022,M,251.0,557.0,0.0,0.0,0,0.31064356,306.0,38,Jujuy
2022,N,710.0,1634.0,0.0,0.0,0,0.30290102,924.0,38,Jujuy
2022,S,1803.0,1282.0,0.0,0.0,0,0.58444084,521.0,38,Jujuy
2022,K,409.0,428.0,0.0,0.0,0,0.48864994,19.0,38,Jujuy
2022,L,68.0,105.0,0.0,0.0,0,0.39306358,37.0,38,Jujuy
2022,O,29.0,44.0,0.0,0.0,0,0.39726027,15.0,38,Jujuy
2022,P,2494.0,1146.0,0.0,0.0,0,0.68516484,1348.0,38,Jujuy
2022,Q,1716.0,874.0,0.0,0.0,0,0.66254826,842.0,38,Jujuy
2022,R,140.0,270.0,0.0,0.0,0,0.34146341,130.0,38,Jujuy
2022,E,186.0,811.0,0.0,0.0,0,0.18655968,625.0,38,Jujuy
2022,A,363.0,4332.0,0.0,0.0,0,0.07731629,3969.0,42,La Pampa
2022,B,60.0,546.0,0.0,0.0,0,0.0990099,486.0,42,La Pampa
2022,C,859.0,4626.0,0.0,0.0,0,0.15660893,3767.0,42,La Pampa
2022,D,376.0,1335.0,0.0,0.0,0,0.21975453,959.0,42,La Pampa
2022,E,20.0,135.0,0.0,0.0,0,0.12903226,115.0,42,La Pampa
2022,F,144.0,2760.0,0.0,0.0,0,0.04958678,2616.0,42,La Pampa
2022,G,3649.0,7326.0,0.0,0.0,0,0.33248292,3677.0,42,La Pampa
2022,H,162.0,1927.0,0.0,0.0,0,0.07754907,1765.0,42,La Pampa
2022,I,599.0,532.0,0.0,0.0,0,0.52961981,67.0,42,La Pampa
2022,J,160.0,370.0,0.0,0.0,0,0.30188679,210.0,42,La Pampa
2022,K,578.0,743.0,0.0,0.0,0,0.43754731,165.0,42,La Pampa
2022,L,98.0,138.0,0.0,0.0,0,0.41525424,40.0,42,La Pampa
2022,M,483.0,542.0,0.0,0.0,0,0.47121951,59.0,42,La Pampa
2022,N,1100.0,982.0,0.0,0.0,0,0.52833814,118.0,42,La Pampa
2022,P,1428.0,470.0,0.0,0.0,0,0.75237092,958.0,42,La Pampa
2022,Q,1386.0,310.0,0.0,0.0,0,0.81721698,1076.0,42,La Pampa
2022,R,216.0,258.0,0.0,0.0,0,0.4556962,42.0,42,La Pampa
2022,S,1011.0,667.0,0.0,0.0,0,0.60250298,344.0,42,La Pampa
2022,O,51.0,45.0,0.0,0.0,0,0.53125,6.0,42,La Pampa
2022,A,526.0,4277.0,0.0,0.0,0,0.10951489,3751.0,46,La Rioja
2022,C,1663.0,7185.0,0.0,0.0,0,0.18795208,5522.0,46,La Rioja
2022,D,114.0,456.0,0.0,0.0,0,0.2,342.0,46,La Rioja
2022,E,39.0,293.0,0.0,0.0,0,0.11746988,254.0,46,La Rioja
2022,F,109.0,2911.0,0.0,0.0,0,0.03609272,2802.0,46,La Rioja
2022,G,1779.0,4004.0,0.0,0.0,0,0.3076258,2225.0,46,La Rioja
2022,H,131.0,992.0,0.0,0.0,0,0.11665183,861.0,46,La Rioja
2022,I,474.0,579.0,0.0,0.0,0,0.45014245,105.0,46,La Rioja
2022,J,84.0,271.0,0.0,0.0,0,0.23661972,187.0,46,La Rioja
2022,K,347.0,420.0,0.0,0.0,0,0.45241199,73.0,46,La Rioja
2022,M,124.0,239.0,0.0,0.0,0,0.3415978,115.0,46,La Rioja
2022,N,284.0,992.0,0.0,0.0,0,0.22257053,708.0,46,La Rioja
2022,P,941.0,361.0,0.0,0.0,0,0.72273425,580.0,46,La Rioja
2022,Q,921.0,513.0,0.0,0.0,0,0.64225941,408.0,46,La Rioja
2022,R,73.0,74.0,0.0,0.0,0,0.49659864,1.0,46,La Rioja
2022,S,555.0,615.0,0.0,0.0,0,0.47435897,60.0,46,La Rioja
2022,B,19.0,135.0,0.0,0.0,0,0.12337662,116.0,46,La Rioja
2022,L,12.0,42.0,0.0,0.0,0,0.22222222,30.0,46,La Rioja
2022,O,32.0,27.0,0.0,0.0,0,0.54237288,5.0,46,La Rioja
2022,A,3871.0,20218.0,0.0,0.0,0,0.16069575,16347.0,50,Mendoza
2022,B,344.0,3930.0,0.0,0.0,0,0.08048666,3586.0,50,Mendoza
2022,C,10636.0,35583.0,0.0,0.0,0,0.23012181,24947.0,50,Mendoza
